agent,condition,scenario,episode,seed,shock,buyer_type,severity,t_s,disruption_type,supplier_port,entry_port,invalid_actions,gated_turns,up_deal,first_bid_ratio,rho_up,rho_up_static,rho_up_agent,dn_deal,tau_true_close,tau_obs_close,qty_committed,shortfall,stockout,fill_rate_realized,rho_dn,rho_dn_deliverable,below_true_batna,below_static_tau,pareto_efficient,chain_impasse,avoidable_impasse,net_value,reward
Surplus,no-shock,19,76,900019,False,competitive,0.0,-1,none,Manzanillo,Los Angeles,0,5,True,0.6404,0.7907,0.7907,0.7907,True,0.4,0.4,20,0,False,1.0,0.0527,0.0527,True,True,False,False,False,0.4217,0.4217
Static-tau,no-shock,19,77,900019,False,competitive,0.0,-1,none,Manzanillo,Los Angeles,0,5,True,0.635,0.7984,0.7984,0.7984,True,0.4,0.4,100,0,False,1.0,0.4636,0.4636,False,False,True,False,False,0.631,0.631
Dyn-BATNA,no-shock,19,78,900019,False,competitive,0.0,-1,none,Manzanillo,Los Angeles,0,5,True,0.6291,0.8176,0.8176,0.8176,True,0.4,0.4,100,0,False,1.0,0.4636,0.4636,False,False,True,False,False,0.6406,0.6406
Dyn-tau-nohedge,no-shock,19,79,900019,False,competitive,0.0,-1,none,Manzanillo,Los Angeles,0,5,True,0.6296,0.8166,0.8166,0.8166,True,0.4,0.4,100,0,False,1.0,0.4636,0.4636,False,False,True,False,False,0.6401,0.6401
Surplus,no-shock,20,80,900020,False,cooperative,0.0,-1,none,Shanghai,Houston,0,0,True,0.6404,0.7516,0.7516,0.7516,True,0.4,0.4,120,0,False,1.0,0.466,0.466,False,False,True,False,False,0.6088,0.6088
Static-tau,no-shock,20,81,900020,False,cooperative,0.0,-1,none,Shanghai,Houston,0,0,True,0.635,0.7589,0.7589,0.7589,True,0.4,0.4,120,0,False,1.0,0.466,0.466,False,False,True,False,False,0.6124,0.6124
Dyn-BATNA,no-shock,20,82,900020,False,cooperative,0.0,-1,none,Shanghai,Houston,0,0,True,0.6291,0.7771,0.7771,0.7771,True,0.4,0.4,120,0,False,1.0,0.466,0.466,False,False,True,False,False,0.6215,0.6215
Dyn-tau-nohedge,no-shock,20,83,900020,False,cooperative,0.0,-1,none,Shanghai,Houston,0,0,True,0.6296,0.7762,0.7762,0.7762,True,0.4,0.4,120,0,False,1.0,0.466,0.466,False,False,True,False,False,0.6211,0.6211
Surplus,no-shock,21,84,900021,False,cooperative,0.0,-1,none,Manzanillo,Houston,0,0,True,0.6404,0.7446,0.7446,0.7446,True,0.4,0.4,120,0,False,1.0,0.8286,0.8286,False,False,False,False,False,0.7866,0.7866
Static-tau,no-shock,21,85,900021,False,cooperative,0.0,-1,none,Manzanillo,Houston,0,0,True,0.635,0.7446,0.7446,0.7446,True,0.4,0.4,120,0,False,1.0,0.8286,0.8286,False,False,False,False,False,0.7866,0.7866
